,Scopus SourceID,Title,CiteScore,Percentile,Citation Count,Scholarly Output,Percent Cited,SNIP,SJR,RANK,Rank Out Of,Publisher,Type,OpenAccess,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus SourceID.1,Print-ISSN,E-ISSN,Subject Area
3291,21100217630.0,Strategic Entrepreneurship Journal,3.98,92.0,259.0,65.0,82.0,1.602,2.712,27.0,370.0,Wiley-Blackwell,Journal,NO,1408.0,Strategy and Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100217630,19324391,1932443X,"Business, Management and Accounting"
3299,26574.0,Annals of Internal Medicine,3.97,90.0,8855.0,2230.0,38.0,4.966,7.466,12.0,121.0,American College of Physicians,Journal,NO,2724.0,Internal Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26574,00034819,15393704,Medicine
3308,16232.0,British Journal of Political Science,3.96,98.0,388.0,98.0,80.0,2.796,4.661,18.0,1028.0,Cambridge University Press,Journal,NO,3312.0,Sociology and Political Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16232,00071234,14692112,Social Sciences
3310,24749.0,Addiction Biology,3.96,93.0,1175.0,297.0,92.0,1.005,1.952,32.0,487.0,Wiley-Blackwell,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24749,13556215,13691600,Medicine
3321,130037.0,Biogeosciences,3.96,96.0,5464.0,1380.0,89.0,1.235,2.072,5.0,132.0,Copernicus,Journal,YES,1904.0,Earth-Surface Processes,Quartile 1,Top 10%,https://www.scopus.com/sourceid/130037,17264170,17264189,Earth and Planetary Sciences
3322,130037.0,Biogeosciences,3.96,91.0,5464.0,1380.0,89.0,1.235,2.072,47.0,561.0,Copernicus,Journal,YES,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/130037,17264170,17264189,Agricultural and Biological Sciences
3361,20246.0,Journal of Labor Economics,3.94,98.0,449.0,114.0,85.0,3.069,9.108,1.0,48.0,University of Chicago Press,Journal,NO,1410.0,Industrial relations,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20246,0734306X,15375307,"Business, Management and Accounting"
3362,20246.0,Journal of Labor Economics,3.94,94.0,449.0,114.0,85.0,3.069,9.108,33.0,564.0,University of Chicago Press,Journal,NO,2002.0,Economics and Econometrics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20246,0734306X,15375307,"Economics, Econometrics and Finance"
3363,22944.0,Journal of International Marketing,3.94,93.0,201.0,51.0,88.0,1.898,1.568,21.0,340.0,American Marketing Association,Journal,NO,1403.0,Business and International Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22944,1069031X,15477215,"Business, Management and Accounting"
3364,22944.0,Journal of International Marketing,3.94,92.0,201.0,51.0,88.0,1.898,1.568,12.0,157.0,American Marketing Association,Journal,NO,1406.0,Marketing,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22944,1069031X,15477215,"Business, Management and Accounting"
3377,26430.0,SIAM Review,3.93,97.0,401.0,102.0,46.0,4.819,2.273,13.0,418.0,Society for Industrial and Applied Mathematics,Journal,NO,2604.0,Applied Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26430,00361445,10957200,Mathematics
3378,26430.0,SIAM Review,3.93,96.0,401.0,102.0,46.0,4.819,2.273,5.0,125.0,Society for Industrial and Applied Mathematics,Journal,NO,2605.0,Computational Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26430,00361445,10957200,Mathematics
3379,26430.0,SIAM Review,3.93,94.0,401.0,102.0,46.0,4.819,2.273,7.0,114.0,Society for Industrial and Applied Mathematics,Journal,NO,2614.0,Theoretical Computer Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26430,00361445,10957200,Mathematics
3380,28093.0,Age and Ageing,3.93,95.0,2225.0,566.0,74.0,1.924,1.989,5.0,94.0,Oxford University Press,Journal,NO,2717.0,Geriatrics and Gerontology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/28093,00020729,14682834,Medicine
3382,29539.0,Journal of Hydrometeorology,3.93,90.0,1815.0,462.0,87.0,1.300,2.243,10.0,102.0,American Meteorological Society,Journal,NO,1902.0,Atmospheric Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29539,1525755X,15257541,Earth and Planetary Sciences
3384,40981.0,Biology and Fertility of Soils,3.93,94.0,1254.0,319.0,89.0,1.347,1.692,17.0,309.0,Springer Nature,Journal,NO,1102.0,Agronomy and Crop Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/40981,01782762,14320789,Agricultural and Biological Sciences
3385,40981.0,Biology and Fertility of Soils,3.93,90.0,1254.0,319.0,89.0,1.347,1.692,11.0,113.0,Springer Nature,Journal,NO,1111.0,Soil Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/40981,01782762,14320789,Agricultural and Biological Sciences
3389,23411.0,Journal of Industrial Ecology,3.93,99.0,1167.0,297.0,79.0,1.439,1.237,2.0,213.0,Wiley-Blackwell,Journal,NO,3300.0,General Social Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23411,10881980,15309290,Social Sciences
3390,23411.0,Journal of Industrial Ecology,3.93,90.0,1167.0,297.0,79.0,1.439,1.237,19.0,193.0,Wiley-Blackwell,Journal,NO,2300.0,General Environmental Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23411,10881980,15309290,Environmental Science
3391,24672.0,Crystal Growth and Design,3.93,92.0,9242.0,2350.0,87.0,1.103,1.154,31.0,393.0,American Chemical Society,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24672,15287483,15287505,Physics and Astronomy
3403,21100211738.0,European Journal of Preventive Cardiology,3.93,91.0,2346.0,597.0,83.0,1.545,2.037,27.0,327.0,SAGE,Journal,NO,2705.0,Cardiology and Cardiovascular Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100211738,20474873,20474881,Medicine
3409,17990.0,Neuropathology and Applied Neurobiology,3.92,93.0,847.0,216.0,76.0,1.109,2.236,13.0,185.0,Wiley-Blackwell,Journal,NO,2734.0,Pathology and Forensic Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17990,03051846,13652990,Medicine
3427,26133.0,Hormones and Behavior,3.91,94.0,1790.0,458.0,88.0,1.102,1.638,4.0,68.0,Elsevier,Journal,NO,2802.0,Behavioral Neuroscience,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26133,0018506X,10956867,Neuroscience
3431,22806.0,Chemical Record,3.91,92.0,1229.0,314.0,82.0,0.866,1.814,20.0,255.0,Wiley-Blackwell,Journal,NO,2505.0,Materials Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22806,15278999,15280691,Materials Science
3432,22806.0,Chemical Record,3.91,91.0,1229.0,314.0,82.0,0.866,1.814,24.0,272.0,Wiley-Blackwell,Journal,NO,1500.0,General Chemical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22806,15278999,15280691,Chemical Engineering
3444,21100373947.0,Journal of Behavioral Addictions,3.91,94.0,633.0,162.0,77.0,1.356,1.101,13.0,249.0,Akademiai Kiado,Journal,NO,3203.0,Clinical Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100373947,20625871,20635303,Psychology
3445,21100373947.0,Journal of Behavioral Addictions,3.91,92.0,633.0,162.0,77.0,1.356,1.101,35.0,487.0,Akademiai Kiado,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100373947,20625871,20635303,Medicine
3452,16926.0,American Journal of Sociology,3.9,98.0,448.0,115.0,88.0,3.107,3.685,20.0,1028.0,University of Chicago Press,Journal,NO,3312.0,Sociology and Political Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16926,00029602,15375390,Social Sciences
3453,21431.0,Indoor Air,3.9,96.0,866.0,222.0,85.0,2.072,1.437,19.0,478.0,Wiley-Blackwell,Journal,NO,2739.0,"Public Health, Environmental and Occupational Health",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21431,09056947,16000668,Medicine
3454,21431.0,Indoor Air,3.9,94.0,866.0,222.0,85.0,2.072,1.437,9.0,161.0,Wiley-Blackwell,Journal,NO,2215.0,Building and Construction,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21431,09056947,16000668,Engineering
3455,21431.0,Indoor Air,3.9,90.0,866.0,222.0,85.0,2.072,1.437,11.0,106.0,Wiley-Blackwell,Journal,NO,2305.0,Environmental Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21431,09056947,16000668,Environmental Science
3457,130080.0,Journal of Chemical Information and Modeling,3.9,96.0,3090.0,793.0,86.0,1.206,1.349,8.0,202.0,American Chemical Society,Journal,NO,3309.0,Library and Information Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/130080,15499596,1549960X,Social Sciences
3458,130080.0,Journal of Chemical Information and Modeling,3.9,90.0,3090.0,793.0,86.0,1.206,1.349,26.0,272.0,American Chemical Society,Journal,NO,1500.0,General Chemical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/130080,15499596,1549960X,Chemical Engineering
3463,7000153204.0,Social Cognitive and Affective Neuroscience,3.9,95.0,2112.0,541.0,91.0,1.245,2.078,6.0,125.0,Oxford University Press,Journal,YES,3205.0,Experimental and Cognitive Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/7000153204,17495024,17495016,Psychology
3468,16711.0,Annals of Botany,3.89,93.0,2448.0,630.0,88.0,1.623,1.721,26.0,389.0,Oxford University Press,Journal,NO,1110.0,Plant Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16711,03057364,10958290,Agricultural and Biological Sciences
3485,27470.0,Antipode,3.88,96.0,818.0,211.0,84.0,2.412,2.725,21.0,605.0,Wiley-Blackwell,Journal,NO,3305.0,"Geography, Planning and Development",Quartile 1,Top 10%,https://www.scopus.com/sourceid/27470,00664812,14678330,Social Sciences
3486,27470.0,Antipode,3.88,95.0,818.0,211.0,84.0,2.412,2.725,7.0,132.0,Wiley-Blackwell,Journal,NO,1904.0,Earth-Surface Processes,Quartile 1,Top 10%,https://www.scopus.com/sourceid/27470,00664812,14678330,Earth and Planetary Sciences
3488,13042.0,Plant Molecular Biology,3.88,94.0,1643.0,424.0,87.0,1.094,1.737,19.0,309.0,Springer Nature,Journal,NO,1102.0,Agronomy and Crop Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/13042,01674412,15735028,Agricultural and Biological Sciences
3489,13042.0,Plant Molecular Biology,3.88,92.0,1643.0,424.0,87.0,1.094,1.737,28.0,389.0,Springer Nature,Journal,NO,1110.0,Plant Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/13042,01674412,15735028,Agricultural and Biological Sciences
3496,19300156817.0,Circulation: Arrhythmia and Electrophysiology,3.88,91.0,2562.0,660.0,67.0,1.907,3.225,29.0,327.0,Wolters Kluwer Health,Journal,NO,2705.0,Cardiology and Cardiovascular Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19300156817,19413149,19413084,Medicine
3498,19400157120.0,Circulation: Cardiovascular Imaging,3.88,93.0,1993.0,514.0,68.0,1.673,3.242,17.0,270.0,Wolters Kluwer Health,Journal,NO,2741.0,Radiology Nuclear Medicine and imaging,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19400157120,19419651,19420080,Medicine
3499,19400157120.0,Circulation: Cardiovascular Imaging,3.88,91.0,1993.0,514.0,68.0,1.673,3.242,29.0,327.0,Wolters Kluwer Health,Journal,NO,2705.0,Cardiology and Cardiovascular Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19400157120,19419651,19420080,Medicine
3503,21100409442.0,Liquid Crystals Reviews,3.88,91.0,66.0,17.0,82.0,1.197,1.121,33.0,393.0,Taylor & Francis,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100409442,21680396,21680418,Physics and Astronomy
3506,12675.0,International Journal of Eating Disorders,3.87,92.0,1567.0,405.0,85.0,1.405,1.850,37.0,487.0,Wiley-Blackwell,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12675,02763478,1098108X,Medicine
3510,19842.0,Exercise and Sport Sciences Reviews,3.87,96.0,352.0,91.0,73.0,1.951,1.943,6.0,163.0,Wolters Kluwer Health,Journal,NO,3612.0,"Physical Therapy, Sports Therapy and Rehabilitation",Quartile 1,Top 10%,https://www.scopus.com/sourceid/19842,00916331,15383008,Health Professions
3511,19842.0,Exercise and Sport Sciences Reviews,3.87,95.0,352.0,91.0,73.0,1.951,1.943,10.0,237.0,Wolters Kluwer Health,Journal,NO,2732.0,Orthopedics and Sports Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19842,00916331,15383008,Medicine
3568,24202.0,Review of Economic Studies,3.84,93.0,353.0,92.0,85.0,3.616,9.589,36.0,564.0,Oxford University Press,Journal,NO,2002.0,Economics and Econometrics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24202,00346527,1467937X,"Economics, Econometrics and Finance"
3588,12815.0,Journal of Information Technology,3.83,95.0,337.0,88.0,81.0,2.638,1.752,9.0,202.0,Springer Nature,Journal,NO,3309.0,Library and Information Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12815,02683962,14664437,Social Sciences
3589,12815.0,Journal of Information Technology,3.83,92.0,337.0,88.0,81.0,2.638,1.752,28.0,370.0,Springer Nature,Journal,NO,1408.0,Strategy and Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12815,02683962,14664437,"Business, Management and Accounting"
3591,22324.0,Organization Science,3.83,93.0,1008.0,263.0,83.0,2.049,5.497,12.0,173.0,Institute for Operations Research and the Management Sciences,Journal,NO,1407.0,Organizational Behavior and Human Resource Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22324,10477039,15265455,"Business, Management and Accounting"
3592,22324.0,Organization Science,3.83,92.0,1008.0,263.0,83.0,2.049,5.497,28.0,370.0,Institute for Operations Research and the Management Sciences,Journal,NO,1408.0,Strategy and Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22324,10477039,15265455,"Business, Management and Accounting"
3593,22324.0,Organization Science,3.83,90.0,1008.0,263.0,83.0,2.049,5.497,16.0,169.0,Institute for Operations Research and the Management Sciences,Journal,NO,1405.0,Management of Technology and Innovation,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22324,10477039,15265455,"Business, Management and Accounting"
3594,27062.0,American Journal of Pathology,3.83,91.0,3619.0,944.0,81.0,1.142,2.139,15.0,185.0,Elsevier,Journal,NO,2734.0,Pathology and Forensic Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/27062,00029440,15252191,Medicine
3598,21100322090.0,Reviews in Fisheries Science and Aquaculture,3.83,97.0,207.0,54.0,81.0,2.250,1.182,5.0,199.0,Taylor & Francis,Journal,NO,1104.0,Aquatic Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100322090,23308249,23308257,Agricultural and Biological Sciences
3599,21100322090.0,Reviews in Fisheries Science and Aquaculture,3.83,92.0,207.0,54.0,81.0,2.250,1.182,19.0,261.0,Taylor & Francis,Journal,NO,2308.0,"Management, Monitoring, Policy and Law",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100322090,23308249,23308257,Environmental Science
3600,21100322090.0,Reviews in Fisheries Science and Aquaculture,3.83,91.0,207.0,54.0,81.0,2.250,1.182,48.0,561.0,Taylor & Francis,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100322090,23308249,23308257,Agricultural and Biological Sciences
3603,18004.0,American Journal of Respiratory Cell and Molecular Biology,3.82,90.0,2144.0,561.0,89.0,1.012,1.519,13.0,126.0,American Thoracic Society,Journal,NO,2740.0,Pulmonary and Respiratory Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18004,10441549,15354989,Medicine
3621,12604.0,American Naturalist,3.81,91.0,1984.0,521.0,86.0,1.321,2.661,49.0,561.0,University of Chicago Press,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/12604,00030147,15375323,Agricultural and Biological Sciences
3628,24408.0,Clinical Oral Implants Research,3.81,98.0,2528.0,663.0,87.0,1.875,2.462,1.0,43.0,Wiley-Blackwell,Journal,NO,3504.0,Oral Surgery,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24408,09057161,16000501,Dentistry
3630,23053.0,Journal of Natural Products,3.81,97.0,4615.0,1210.0,89.0,1.487,1.368,3.0,91.0,American Chemical Society,Journal,NO,2707.0,Complementary and alternative medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23053,01633864,15206025,Medicine
3631,23053.0,Journal of Natural Products,3.81,90.0,4615.0,1210.0,89.0,1.487,1.368,17.0,172.0,American Chemical Society,Journal,NO,3003.0,Pharmaceutical Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23053,01633864,15206025,"Pharmacology, Toxicology and Pharmaceutics"
3647,145691.0,Soft Matter,3.81,91.0,11253.0,2956.0,86.0,1.227,1.493,34.0,393.0,RSC,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/145691,1744683X,17446848,Physics and Astronomy
3654,19700201201.0,EPMA Journal,3.81,97.0,274.0,72.0,85.0,1.270,0.807,6.0,216.0,Springer Nature,Journal,YES,2719.0,Health Policy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700201201,18785077,18785085,Medicine
3672,14000156253.0,Regulation and Governance,3.8,98.0,285.0,75.0,71.0,2.292,1.866,6.0,528.0,Wiley-Blackwell,Journal,NO,3308.0,Law,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14000156253,17485983,17485991,Social Sciences
3673,14000156253.0,Regulation and Governance,3.8,97.0,285.0,75.0,71.0,2.292,1.866,21.0,1028.0,Wiley-Blackwell,Journal,NO,3312.0,Sociology and Political Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14000156253,17485983,17485991,Social Sciences
3674,14000156253.0,Regulation and Governance,3.8,97.0,285.0,75.0,71.0,2.292,1.866,3.0,117.0,Wiley-Blackwell,Journal,NO,3321.0,Public Administration,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14000156253,17485983,17485991,Social Sciences
3676,19700201637.0,Foundations and Trends in Econometrics,3.8,93.0,19.0,5.0,80.0,3.155,0.696,37.0,564.0,Now Publishers Inc.,Journal,NO,2002.0,Economics and Econometrics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700201637,15513076,15513084,"Economics, Econometrics and Finance"
3677,16894.0,Biogeochemistry,3.79,94.0,1530.0,404.0,88.0,1.253,1.658,11.0,191.0,Springer Nature,Journal,NO,2312.0,Water Science and Technology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16894,01682563,1573515X,Environmental Science
3678,16894.0,Biogeochemistry,3.79,94.0,1530.0,404.0,88.0,1.253,1.658,8.0,132.0,Springer Nature,Journal,NO,1904.0,Earth-Surface Processes,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16894,01682563,1573515X,Earth and Planetary Sciences
3680,23763.0,Advances in dental research,3.79,98.0,91.0,24.0,71.0,-,1.791,16.0,841.0,International Association for Dental Research,Journal,NO,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23763,08959374,15440737,Medicine
3695,29104.0,Small Business Economics,3.78,96.0,1081.0,286.0,88.0,2.179,1.937,8.0,195.0,Springer Nature,Journal,NO,1400.0,"General Business, Management and Accounting",Quartile 1,Top 10%,https://www.scopus.com/sourceid/29104,0921898X,15730913,"Business, Management and Accounting"
3696,29104.0,Small Business Economics,3.78,93.0,1081.0,286.0,88.0,2.179,1.937,38.0,564.0,Springer Nature,Journal,NO,2002.0,Economics and Econometrics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29104,0921898X,15730913,"Economics, Econometrics and Finance"
3697,22452.0,International Journal of Neuropsychopharmacology,3.78,92.0,2074.0,548.0,84.0,0.925,1.808,39.0,487.0,Oxford University Press,Journal,YES,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22452,14611457,14695111,Medicine
3698,22452.0,International Journal of Neuropsychopharmacology,3.78,90.0,2074.0,548.0,84.0,0.925,1.808,22.0,230.0,Oxford University Press,Journal,YES,2736.0,Pharmacology (medical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/22452,14611457,14695111,Medicine
3701,4000148310.0,Geobiology,3.78,92.0,431.0,114.0,88.0,1.176,1.942,15.0,182.0,Wiley-Blackwell,Journal,NO,1900.0,General Earth and Planetary Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/4000148310,14724677,14724669,Earth and Planetary Sciences
3702,4000148310.0,Geobiology,3.78,91.0,431.0,114.0,88.0,1.176,1.942,50.0,561.0,Wiley-Blackwell,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/4000148310,14724677,14724669,Agricultural and Biological Sciences
3709,21100395701.0,Journal of Complex Networks,3.78,96.0,370.0,98.0,57.0,1.837,1.050,15.0,418.0,Oxford University Press,Journal,NO,2604.0,Applied Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100395701,20511310,20511329,Mathematics
3710,21100395701.0,Journal of Complex Networks,3.78,95.0,370.0,98.0,57.0,1.837,1.050,4.0,73.0,Oxford University Press,Journal,NO,2606.0,Control and Optimization,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100395701,20511310,20511329,Mathematics
3711,21100395701.0,Journal of Complex Networks,3.78,95.0,370.0,98.0,57.0,1.837,1.050,6.0,125.0,Oxford University Press,Journal,NO,2605.0,Computational Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100395701,20511310,20511329,Mathematics
3712,21100395701.0,Journal of Complex Networks,3.78,93.0,370.0,98.0,57.0,1.837,1.050,10.0,137.0,Oxford University Press,Journal,NO,1803.0,Management Science and Operations Research,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100395701,20511310,20511329,Decision Sciences
3714,21100855886.0,Journal of Geophysical Research: Solid Earth,3.78,94.0,5336.0,1412.0,87.0,1.475,2.272,5.0,82.0,Wiley-Blackwell,Journal,NO,1901.0,Earth and Planetary Sciences (miscellaneous),Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100855886,21699313,21699356,Earth and Planetary Sciences
3715,21100855886.0,Journal of Geophysical Research: Solid Earth,3.78,91.0,5336.0,1412.0,87.0,1.475,2.272,9.0,104.0,Wiley-Blackwell,Journal,NO,1908.0,Geophysics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100855886,21699313,21699356,Earth and Planetary Sciences
3718,17267.0,Magnetic Resonance in Medicine,3.77,93.0,5015.0,1331.0,83.0,1.411,1.890,19.0,270.0,Wiley-Blackwell,Journal,NO,2741.0,Radiology Nuclear Medicine and imaging,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17267,07403194,15222594,Medicine
3720,15557.0,American Political Science Review,3.77,99.0,637.0,169.0,76.0,3.375,5.587,4.0,436.0,Cambridge University Press,Journal,NO,3320.0,Political Science and International Relations,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15557,00030554,15375943,Social Sciences
3721,15557.0,American Political Science Review,3.77,97.0,637.0,169.0,76.0,3.375,5.587,23.0,1028.0,Cambridge University Press,Journal,NO,3312.0,Sociology and Political Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15557,00030554,15375943,Social Sciences
3771,25820.0,Communications on Pure and Applied Mathematics,3.75,98.0,577.0,154.0,75.0,2.989,4.911,5.0,327.0,Wiley-Blackwell,Journal,NO,2600.0,General Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25820,00103640,10970312,Mathematics
3772,25820.0,Communications on Pure and Applied Mathematics,3.75,96.0,577.0,154.0,75.0,2.989,4.911,17.0,418.0,Wiley-Blackwell,Journal,NO,2604.0,Applied Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25820,00103640,10970312,Mathematics
3799,29071.0,Gerontology,3.75,93.0,813.0,217.0,81.0,1.371,1.534,7.0,94.0,Karger,Journal,NO,2717.0,Geriatrics and Gerontology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29071,0304324X,14230003,Medicine
3813,146223.0,Behavior Research Methods,3.74,97.0,1265.0,338.0,71.0,1.952,2.099,7.0,249.0,Springer Nature,Journal,NO,1201.0,Arts and Humanities (miscellaneous),Quartile 1,Top 10%,https://www.scopus.com/sourceid/146223,1554351X,15543528,Arts and Humanities
3814,146223.0,Behavior Research Methods,3.74,95.0,1265.0,338.0,71.0,1.952,2.099,2.0,35.0,Springer Nature,Journal,NO,3201.0,Psychology (miscellaneous),Quartile 1,Top 10%,https://www.scopus.com/sourceid/146223,1554351X,15543528,Psychology
3815,146223.0,Behavior Research Methods,3.74,94.0,1265.0,338.0,71.0,1.952,2.099,8.0,125.0,Springer Nature,Journal,NO,3205.0,Experimental and Cognitive Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/146223,1554351X,15543528,Psychology
3816,146223.0,Behavior Research Methods,3.74,94.0,1265.0,338.0,71.0,1.952,2.099,15.0,283.0,Springer Nature,Journal,NO,3204.0,Developmental and Educational Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/146223,1554351X,15543528,Psychology
3817,146223.0,Behavior Research Methods,3.74,93.0,1265.0,338.0,71.0,1.952,2.099,13.0,189.0,Springer Nature,Journal,NO,3200.0,General Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/146223,1554351X,15543528,Psychology
3840,19172.0,Psychosomatic Medicine,3.72,92.0,1251.0,336.0,82.0,1.354,2.001,15.0,202.0,Wolters Kluwer Health,Journal,NO,3202.0,Applied Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19172,00333174,15347796,Psychology
3841,19172.0,Psychosomatic Medicine,3.72,91.0,1251.0,336.0,82.0,1.354,2.001,41.0,487.0,Wolters Kluwer Health,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19172,00333174,15347796,Medicine
3855,22477.0,Investigational New Drugs,3.71,90.0,1407.0,379.0,83.0,0.909,1.573,23.0,230.0,Springer Nature,Journal,NO,2736.0,Pharmacology (medical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/22477,01676997,15730646,Medicine
3881,39465.0,Annals of Surgical Oncology,3.7,97.0,8376.0,2266.0,81.0,1.467,1.986,10.0,385.0,Springer Nature,Journal,NO,2746.0,Surgery,Quartile 1,Top 10%,https://www.scopus.com/sourceid/39465,10689265,15344681,Medicine
3883,15574.0,Information Systems Research,3.7,95.0,559.0,151.0,82.0,1.591,3.160,10.0,202.0,Institute for Operations Research and the Management Sciences,Journal,NO,3309.0,Library and Information Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15574,10477047,15265536,Social Sciences
3884,15574.0,Information Systems Research,3.7,90.0,559.0,151.0,82.0,1.591,3.160,8.0,76.0,Institute for Operations Research and the Management Sciences,Journal,NO,1404.0,Management Information Systems,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15574,10477047,15265536,"Business, Management and Accounting"
3888,16484.0,Palliative Medicine,3.7,96.0,1217.0,329.0,80.0,2.135,2.290,5.0,115.0,SAGE,Journal,NO,2703.0,Anesthesiology and Pain Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16484,02692163,1477030X,Medicine
